Track Name,PC1,PC2,Sector
68,-0.8300962780319469,2.4485702693665305,↖️ Cuadrante 2: Acústico pero Alegre
69,1.040572383815217,0.5770870538262876,↗️ Cuadrante 1: Energético y Feliz/Bailable
70,0.04523234000159802,0.9410960125491552,↗️ Cuadrante 1: Energético y Feliz/Bailable
71,3.284604043259751,-1.1690756063456753,↘️ Cuadrante 4: Intenso y Serio/Rápido
72,2.725208481561266,-1.05194588636059,↘️ Cuadrante 4: Intenso y Serio/Rápido
73,1.2428412925142405,-0.30631773958183106,↘️ Cuadrante 4: Intenso y Serio/Rápido
74,0.26912716646928314,-0.7272535752188399,↘️ Cuadrante 4: Intenso y Serio/Rápido
75,2.0165088866531597,0.49750520848261887,↗️ Cuadrante 1: Energético y Feliz/Bailable
76,1.497455531431016,-0.6730603466067241,↘️ Cuadrante 4: Intenso y Serio/Rápido
77,-0.07658579206626559,0.9553461144983642,↖️ Cuadrante 2: Acústico pero Alegre
78,-2.485515317654888,-1.9068331647134409,↙️ Cuadrante 3: Acústico y Melancólico/Chill
79,-1.405455798244364,-1.1497559059385154,↙️ Cuadrante 3: Acústico y Melancólico/Chill
80,-2.4733541717282366,-1.726973698776151,↙️ Cuadrante 3: Acústico y Melancólico/Chill
81,1.9902172521905523,0.7196335394552362,↗️ Cuadrante 1: Energético y Feliz/Bailable
82,-0.43600081942714697,0.030242470523469775,↖️ Cuadrante 2: Acústico pero Alegre
83,-1.9559109080691537,-1.4921339212068807,↙️ Cuadrante 3: Acústico y Melancólico/Chill
84,1.6252873308891553,-1.3389515480374594,↘️ Cuadrante 4: Intenso y Serio/Rápido
85,1.5848203673630459,1.1965570260281486,↗️ Cuadrante 1: Energético y Feliz/Bailable
86,1.6308661372591107,-1.311828966961742,↘️ Cuadrante 4: Intenso y Serio/Rápido
87,1.8554029441533646,-0.0982512375125714,↘️ Cuadrante 4: Intenso y Serio/Rápido
88,1.2662996219110423,-2.9879712634318647,↘️ Cuadrante 4: Intenso y Serio/Rápido
89,-3.2306488303705327,-0.7964302437979341,↙️ Cuadrante 3: Acústico y Melancólico/Chill
90,-1.9622012131596769,-0.551047751906204,↙️ Cuadrante 3: Acústico y Melancólico/Chill
91,-1.6201771934021343,0.6325069149538366,↖️ Cuadrante 2: Acústico pero Alegre
92,-4.107287027449259,0.34805717791855295,↖️ Cuadrante 2: Acústico pero Alegre
93,-3.1804178366370444,0.3513650312941202,↖️ Cuadrante 2: Acústico pero Alegre
94,-2.919630590396855,-0.331367231416186,↙️ Cuadrante 3: Acústico y Melancólico/Chill
95,2.514394919362392,-0.8779436547442774,↘️ Cuadrante 4: Intenso y Serio/Rápido
96,-2.201521174375662,0.7271155879055713,↖️ Cuadrante 2: Acústico pero Alegre
97,-0.19933592718498222,-1.282618154364017,↙️ Cuadrante 3: Acústico y Melancólico/Chill
98,-0.6280317243805792,0.6543971776145552,↖️ Cuadrante 2: Acústico pero Alegre
99,0.1845167720585788,0.1870935720138546,↗️ Cuadrante 1: Energético y Feliz/Bailable
100,-2.130482781435651,0.4476887358600591,↖️ Cuadrante 2: Acústico pero Alegre
101,-2.7652319430590824,-1.7527090753173422,↙️ Cuadrante 3: Acústico y Melancólico/Chill
102,1.0291743373135653,-0.35384392752889815,↘️ Cuadrante 4: Intenso y Serio/Rápido
103,-0.8435822808217984,-0.8277902862383927,↙️ Cuadrante 3: Acústico y Melancólico/Chill
104,0.37189019336969376,1.1369470484940318,↗️ Cuadrante 1: Energético y Feliz/Bailable
105,1.2777303836394995,-0.005390073659635366,↘️ Cuadrante 4: Intenso y Serio/Rápido
106,2.1978534672179144,-0.06462140406010972,↘️ Cuadrante 4: Intenso y Serio/Rápido
107,0.15195894370695015,1.5756270878410281,↗️ Cuadrante 1: Energético y Feliz/Bailable
108,-1.3650791204472001,-0.6030640506690645,↙️ Cuadrante 3: Acústico y Melancólico/Chill
109,1.590272218859399,-1.9836470201649217,↘️ Cuadrante 4: Intenso y Serio/Rápido
110,-0.2880297278283236,0.5490846171110474,↖️ Cuadrante 2: Acústico pero Alegre
111,-0.6954944234649356,0.3038542607528399,↖️ Cuadrante 2: Acústico pero Alegre
112,-0.9023697969579663,0.5969900218690254,↖️ Cuadrante 2: Acústico pero Alegre
113,0.8504930226941585,2.1607413104142497,↗️ Cuadrante 1: Energético y Feliz/Bailable
114,-3.2470732834542084,-0.16580790954113137,↙️ Cuadrante 3: Acústico y Melancólico/Chill
115,-2.265784306236876,-1.7284429132993953,↙️ Cuadrante 3: Acústico y Melancólico/Chill
116,1.314973213066385,0.7649782131360358,↗️ Cuadrante 1: Energético y Feliz/Bailable
117,0.14414862362223993,-0.3008870159099046,↘️ Cuadrante 4: Intenso y Serio/Rápido
118,0.1520636117255235,2.723674961526056,↗️ Cuadrante 1: Energético y Feliz/Bailable
119,0.04864998143281837,1.1785606071080308,↗️ Cuadrante 1: Energético y Feliz/Bailable
120,-0.23519299756979445,-0.20080097409770756,↙️ Cuadrante 3: Acústico y Melancólico/Chill
121,-1.6416236353493512,-0.7179302291926999,↙️ Cuadrante 3: Acústico y Melancólico/Chill
122,-1.1248131068422589,-1.0829349627128677,↙️ Cuadrante 3: Acústico y Melancólico/Chill
123,1.9499447583317862,-0.1639484111693471,↘️ Cuadrante 4: Intenso y Serio/Rápido
124,1.1499025785392505,-1.6418911113516186,↘️ Cuadrante 4: Intenso y Serio/Rápido
125,-0.49220525054597897,-0.7738854384495873,↙️ Cuadrante 3: Acústico y Melancólico/Chill
126,0.8361147264986049,0.3968956559429493,↗️ Cuadrante 1: Energético y Feliz/Bailable
127,1.1430135672693216,-1.1550809313252686,↘️ Cuadrante 4: Intenso y Serio/Rápido
128,-1.9638088364346333,-1.4809277046171283,↙️ Cuadrante 3: Acústico y Melancólico/Chill
129,-0.27356273043158147,0.4032237632100308,↖️ Cuadrante 2: Acústico pero Alegre
130,1.343700301633212,-2.708604856615911,↘️ Cuadrante 4: Intenso y Serio/Rápido
131,-0.48569383106134534,-1.4066618821598489,↙️ Cuadrante 3: Acústico y Melancólico/Chill
132,1.6249620015795423,0.1763429854075736,↗️ Cuadrante 1: Energético y Feliz/Bailable
133,-1.5073864094990834,-0.15514940847692837,↙️ Cuadrante 3: Acústico y Melancólico/Chill
134,1.1505092197650253,3.988280541800766,↗️ Cuadrante 1: Energético y Feliz/Bailable
135,0.6831677009593212,1.760523620637041,↗️ Cuadrante 1: Energético y Feliz/Bailable
136,-2.2578706825367543,-1.42109163060135,↙️ Cuadrante 3: Acústico y Melancólico/Chill
137,-2.9370231659907002,0.11443201719634483,↖️ Cuadrante 2: Acústico pero Alegre
138,-1.5561555749225484,0.8037347787985849,↖️ Cuadrante 2: Acústico pero Alegre
139,1.3322545165083,-0.5085886514667465,↘️ Cuadrante 4: Intenso y Serio/Rápido
140,0.03001898653988952,0.5642196973014288,↗️ Cuadrante 1: Energético y Feliz/Bailable
141,0.553857574336618,-0.9091807106739733,↘️ Cuadrante 4: Intenso y Serio/Rápido
142,-4.890187642469156,-0.805171577821211,↙️ Cuadrante 3: Acústico y Melancólico/Chill
143,2.220459519773499,-1.825048151935903,↘️ Cuadrante 4: Intenso y Serio/Rápido
144,-1.204833324859489,1.0461116911143082,↖️ Cuadrante 2: Acústico pero Alegre
145,1.5105327378808013,0.9876136172993912,↗️ Cuadrante 1: Energético y Feliz/Bailable
146,0.9956471158961725,1.061709722339218,↗️ Cuadrante 1: Energético y Feliz/Bailable
147,-0.3545921936737265,-0.1904361322311334,↙️ Cuadrante 3: Acústico y Melancólico/Chill
148,-0.777836735229265,0.4068499394046236,↖️ Cuadrante 2: Acústico pero Alegre
149,-0.8155119888695003,1.2295000471979032,↖️ Cuadrante 2: Acústico pero Alegre
150,2.1750043970897366,-0.8196848514660591,↘️ Cuadrante 4: Intenso y Serio/Rápido
151,1.8078845490398767,0.5526714491581604,↗️ Cuadrante 1: Energético y Feliz/Bailable
152,-1.2718943302340906,1.3233251857603914,↖️ Cuadrante 2: Acústico pero Alegre
153,-0.2976967927373833,0.47727653664373565,↖️ Cuadrante 2: Acústico pero Alegre
154,0.16604000342063552,-1.5072213860094799,↘️ Cuadrante 4: Intenso y Serio/Rápido
155,1.874999789277664,1.2346679322892233,↗️ Cuadrante 1: Energético y Feliz/Bailable
156,0.7790740896727568,0.9709586043024916,↗️ Cuadrante 1: Energético y Feliz/Bailable
157,1.178918895735177,2.5462989631403348,↗️ Cuadrante 1: Energético y Feliz/Bailable
158,-4.0673873855829745,0.1497943822848681,↖️ Cuadrante 2: Acústico pero Alegre
159,1.494141757119435,1.2928238210006717,↗️ Cuadrante 1: Energético y Feliz/Bailable
160,-0.4173272047536691,1.3631252299184038,↖️ Cuadrante 2: Acústico pero Alegre
161,-0.3372974182932167,0.49441710126720495,↖️ Cuadrante 2: Acústico pero Alegre
162,0.27720764116200125,-0.4166803612679104,↘️ Cuadrante 4: Intenso y Serio/Rápido
163,-1.6260608586596565,-0.6717684848102241,↙️ Cuadrante 3: Acústico y Melancólico/Chill
164,-1.3513565593352017,0.33352557437246,↖️ Cuadrante 2: Acústico pero Alegre
165,0.38175796689124153,-0.6617621918640607,↘️ Cuadrante 4: Intenso y Serio/Rápido
166,0.004540503713198085,1.2350064874888376,↗️ Cuadrante 1: Energético y Feliz/Bailable
167,-1.8062504120734473,-0.23992022051737863,↙️ Cuadrante 3: Acústico y Melancólico/Chill
168,1.4047831159387925,2.1999764272061824,↗️ Cuadrante 1: Energético y Feliz/Bailable
169,-1.3687035466335034,-0.6700594089882899,↙️ Cuadrante 3: Acústico y Melancólico/Chill
170,0.6715048116142773,0.026339413789903704,↗️ Cuadrante 1: Energético y Feliz/Bailable
171,0.9099541719874147,1.099484691109162,↗️ Cuadrante 1: Energético y Feliz/Bailable
172,0.31655986726449276,0.006772529039566569,↗️ Cuadrante 1: Energético y Feliz/Bailable
173,1.2426839808483003,-0.8318574050496035,↘️ Cuadrante 4: Intenso y Serio/Rápido
174,0.7876804991299118,2.277541346352577,↗️ Cuadrante 1: Energético y Feliz/Bailable
175,-2.84774141284714,-1.8876327871451144,↙️ Cuadrante 3: Acústico y Melancólico/Chill
176,-0.8070880305827435,1.3296901573389601,↖️ Cuadrante 2: Acústico pero Alegre
177,-2.597558728268594,-0.9836392424606496,↙️ Cuadrante 3: Acústico y Melancólico/Chill
178,-2.268115299392244,0.834007650014324,↖️ Cuadrante 2: Acústico pero Alegre
179,-2.9684827737327977,-0.32329529794108974,↙️ Cuadrante 3: Acústico y Melancólico/Chill
180,0.7798690970202413,-1.608582222394854,↘️ Cuadrante 4: Intenso y Serio/Rápido
181,-0.15349915835501315,1.078820186957746,↖️ Cuadrante 2: Acústico pero Alegre
182,-3.2012775964917095,0.8421508696381547,↖️ Cuadrante 2: Acústico pero Alegre
183,-0.16708082985829564,0.7362297735231998,↖️ Cuadrante 2: Acústico pero Alegre
184,1.5070779134600265,1.0606986952423827,↗️ Cuadrante 1: Energético y Feliz/Bailable
185,0.07303248736535489,-0.8376358896670735,↘️ Cuadrante 4: Intenso y Serio/Rápido
186,-4.444645577602535,1.2043114349865252,↖️ Cuadrante 2: Acústico pero Alegre
187,-3.247867061608446,-0.10213875876218234,↙️ Cuadrante 3: Acústico y Melancólico/Chill
188,1.7854344049198065,0.6913392548369057,↗️ Cuadrante 1: Energético y Feliz/Bailable
189,-0.5553601830248623,-1.312204028568498,↙️ Cuadrante 3: Acústico y Melancólico/Chill
190,-1.6750675879667467,-0.5743936323517165,↙️ Cuadrante 3: Acústico y Melancólico/Chill
191,1.428493336063043,2.065274538449095,↗️ Cuadrante 1: Energético y Feliz/Bailable
